
140,107,0
136,108,0
132,108,0
128,107,0
124,105,0
120,102,0
116,98,0
112,93,0
108,87,0
104,80,0
100,72,0
96,63,0
92,53,0
88,43,0
84,33,0
80,23,0
76,13,0
72,3,0
68,-7,0
64,-17,1
60,-8,0
56,0,0
52,7,0
48,13,0
44,18,0
40,22,0
36,25,0
32,27,0
28,28,0
24,28,0
20,27,0
16,25,0
12,22,0
8,18,0
148,-57,0
144,-63,0
140,-70,1
136,-61,0
132,-53,0
128,-46,0
124,-40,0
120,-35,0
116,-31,0
140,20,0
136,23,0
132,25,0
128,26,0
124,26,0
120,25,0
116,23,0
112,20,0
108,16,0
104,11,0
100,5,0
96,-2,0
92,-10,0
88,-19,0
84,-29,1
80,-20,0
76,-12,0
72,-5,0
68,1,0
64,6,0
60,10,0
56,13,0
52,15,0
48,16,0
44,16,0
40,15,0
36,13,0
32,10,0
28,6,0
24,1,0
20,-5,1
16,4,0
12,12,0
8,19,0
148,90,0
144,95,0
140,99,0
136,102,0
132,104,0
140,5,0
136,10,0
132,14,0
128,17,0
124,19,0
120,20,0
116,20,0
112,19,0
108,17,0
104,14,0
100,10,0
96,5,0
92,-1,0
88,-8,0
84,-16,0
80,-25,0
76,-35,1
72,-26,0
68,-18,0
64,-11,0
60,-5,0
56,0,0
52,4,0
48,7,0
44,9,0
40,10,0
36,10,0
32,9,0
28,7,0
24,4,0
20,0,0
16,-5,0
12,-11,1
8,-2,0
148,-28,0
144,-21,0
140,-15,0
136,-10,0
132,-6,0
128,-3,0
124,-1,0
120,0,0
116,0,0
112,-1,0
108,-3,0
104,-6,0
100,-10,0
96,-15,0
92,-21,0
88,-28,0
84,-36,0
80,-45,1
76,-36,0
72,-28,0
68,-21,0
64,-15,0
60,-10,0
56,-6,0
52,-3,0
48,-1,0
44,0,0
40,0,0
36,-1,0
32,-3,0
28,-6,0
24,-10,0
20,-15,0
16,-21,1
12,-12,0
8,-4,0
4,3,0
148,55,0
144,60,0
140,64,0
136,67,0
132,69,0
128,70,0
124,70,0
120,69,0
116,67,0
112,64,0
108,60,0
104,55,0
100,49,0
96,42,0
92,34,0
88,25,0
84,15,0
80,5,0
76,-5,0
72,-15,0
68,-25,0
64,-35,1
60,-26,0
56,-18,0
52,-11,0
48,-5,0
44,0,0
40,4,0
36,7,0
32,9,0
28,10,0
24,10,0
20,9,0
16,7,0
12,4,0
8,0,0
148,-32,0
144,-38,1
140,-29,0
136,-21,0
132,-14,0
128,-8,0
124,-3,0
120,1,0
116,4,0
112,6,0
108,7,0
104,7,0
100,6,0
96,4,0
92,1,0
88,-3,0
84,-8,0
80,-14,0
76,-21,0
72,-29,1
68,-20,0
64,-12,0
60,-5,0
56,1,0
52,6,0
48,10,0
44,13,0
40,15,0
36,16,0
32,16,0
28,15,0
24,13,0
20,10,0
16,6,0
12,1,0
8,-5,0
4,-12,0
148,-83,1
144,-74,0
140,-66,0
136,-59,0
132,-53,0
128,-48,0
124,-44,0
120,-41,0
116,-39,0
112,-38,0
108,-38,0
104,-39,0
100,-41,0
96,-44,0
92,-48,1
88,-39,0
84,-31,0
80,-24,0
76,-18,0
72,-13,0
68,-9,0
64,-6,0
60,-4,0
56,-3,0
52,-3,0
48,-4,0
44,-6,0
40,-9,0
36,-13,1
32,-4,0
28,4,0
24,11,0
20,17,0
16,22,0
12,26,0
8,29,0
148,143,0
144,144,0
140,144,0
136,143,0
132,141,0
128,138,0
124,134,0
120,129,0
116,123,0
112,116,0
108,108,0
104,99,0
100,89,0
96,79,0
92,69,0
88,59,0
84,49,0
80,39,0
76,29,0
72,19,0
68,9,0
64,-1,0
60,-11,0
56,-21,1
52,-12,0
48,-4,0
44,3,0
40,9,0
36,14,0
32,18,0
28,21,0
24,23,0
20,24,0
16,24,0
12,23,0
8,21,0
4,18,0
148,-7,0
144,-12,0
140,-18,0
136,-25,0
132,-33,1
128,-24,0
124,-16,0
120,-9,0
116,-3,0
112,2,0
108,6,0
104,9,0
100,11,0
96,12,0
92,12,0
88,11,0
84,9,0
80,6,0
76,2,0
72,-3,0
68,-9,0
64,-16,0
60,-24,1
56,-15,0
52,-7,0
48,0,0
44,6,0
40,11,0
36,15,0
32,18,0
28,20,0
24,21,0
20,21,0
16,20,0
12,18,0
8,15,0
148,-35,0
144,-40,0
140,-46,0
136,-53,1
132,-44,0
128,-36,0
124,-29,0
120,-23,0
116,-18,0
112,-14,0
108,-11,0
104,-9,0
100,-8,0
96,-8,0
92,-9,0
88,-11,0
84,-14,0
80,-18,0
76,-23,1
72,-14,0
68,-6,0
64,1,0
60,7,0
56,12,0
52,16,0
48,19,0
44,21,0
40,22,0
36,22,0
32,21,0
28,19,0
24,16,0
20,12,0
16,7,0
12,1,0
8,-6,0
4,-14,1
148,4,0
144,12,0
140,19,0
136,25,0
132,30,0
128,34,0
124,37,0
120,39,0
116,40,0
112,40,0
108,39,0
104,37,0
100,34,0
96,30,0
92,25,0
88,19,0
84,12,0
80,4,0
76,-5,0
72,-15,0
68,-25,0
64,-35,0
60,-45,1
56,-36,0
52,-28,0
48,-21,0
44,-15,0
40,-10,0
36,-6,0
32,-3,0
28,-1,0
24,0,0
20,0,0
16,-1,0
12,-3,0
8,-6,0
148,44,0
144,39,1
140,48,0
136,56,0
132,63,0
128,69,0
124,74,0
120,78,0
116,81,0
112,83,0
